country, data, baseline, nosectoral, kappa1972, kappa1972_nosectoral, trade_barriers, specialization, diversification
                Australia, 0.0008795170, 0.0008906181, 0.0008265945, 0.0008780550, 0.0008295334,       1.4308,       1.7655,      -0.3347
                  Austria, 0.0002095043, 0.0002194256, 0.0002270969, 0.0003340871, 0.0002751048,     -34.3208,     -19.9510,     -14.3699
   Belgium and Luxembourg, 0.0003107781, 0.0003390732, 0.0002409258, 0.0004700457, 0.0004937763,     -27.8638,      25.9290,     -53.7927
                   Canada, 0.0001858438, 0.0002032928, 0.0001665076, 0.0002177491, 0.0001989697,      -6.6390,       8.2691,     -14.9080
                    China, 0.0058638410, 0.0062269023, 0.0056731708, 0.0061687175, 0.0056434163,       0.9432,       0.4609,       0.4823
                 Colombia, 0.0009507049, 0.0010542874, 0.0009714322, 0.0011083446, 0.0010161031,      -4.8773,      -0.8469,      -4.0304
                  Denmark, 0.0002684576, 0.0002975373, 0.0000962972, 0.0003592286, 0.0001623271,     -17.1733,       1.2078,     -18.3810
                  Finland, 0.0004358458, 0.0004188339, 0.0004390159, 0.0004912197, 0.0005345151,     -14.7359,       4.7053,     -19.4412
                   France, 0.0001957798, 0.0002015815, 0.0001143403, 0.0002063612, 0.0001150157,      -2.3162,      -1.9889,      -0.3273
                  Germany, 0.0002481755, 0.0002377295, 0.0001058633, 0.0002409612, 0.0001089620,      -1.3412,      -0.0552,      -1.2860
                   Greece, 0.0003200581, 0.0003312192, 0.0002091579, 0.0003223895, 0.0002047573,       2.7388,       1.3738,       1.3650
                    India, 0.0009305416, 0.0008332633, 0.0007890861, 0.0008181037, 0.0007925158,       1.8530,       2.2722,      -0.4192
                  Ireland, 0.0006126850, 0.0006340534, 0.0005158127, 0.0008505286, 0.0007212814,     -25.4518,      -1.2941,     -24.1578
                    Italy, 0.0001882147, 0.0001820808, 0.0000884155, 0.0001847686, 0.0000909136,      -1.4547,      -0.1027,      -1.3520
                    Japan, 0.0002653548, 0.0002511140, 0.0000870930, 0.0002480186, 0.0000887124,       1.2481,       1.9010,      -0.6529
                   Mexico, 0.0008342286, 0.0009333019, 0.0015476490, 0.0012683642, 0.0019303992,     -26.4169,       3.7598,     -30.1767
              Netherlands, 0.0001770478, 0.0002074829, 0.0001270709, 0.0002606447, 0.0002257663,     -20.3963,      17.4696,     -37.8659
                   Norway, 0.0006979924, 0.0006453887, 0.0005007226, 0.0007129817, 0.0005973616,      -9.4803,       4.0739,     -13.5542
                 Portugal, 0.0011886138, 0.0011827403, 0.0010106986, 0.0012169487, 0.0010729348,      -2.8110,       2.3031,      -5.1141
                      ROW, 0.0016699008, 0.0017230503, 0.0016814693, 0.0017162763, 0.0016874431,       0.3947,       0.7428,      -0.3481
              South Korea, 0.0009216247, 0.0009126323, 0.0007700349, 0.0009081174, 0.0007689330,       0.4972,       0.3758,       0.1213
                    Spain, 0.0001711751, 0.0001701940, 0.0001479895, 0.0001808339, 0.0001536054,      -5.8838,      -2.7782,      -3.1056
                   Sweden, 0.0002070442, 0.0002118547, 0.0001891712, 0.0002461682, 0.0002161715,     -13.9390,      -2.9708,     -10.9682
           United Kingdom, 0.0001660375, 0.0001686255, 0.0001364350, 0.0001728410, 0.0001475867,      -2.4389,       4.0131,      -6.4520
            United States, 0.0002179741, 0.0002677315, 0.0001666065, 0.0002669904, 0.0001661896,       0.2776,       0.1214,       0.1561
