country, data, baseline, nosectoral, kappa1972, kappa1972_nosectoral, trade_barriers, specialization, diversification
                Australia, 0.0008845367, 0.0008476402, 0.0009078662, 0.0008113574, 0.0009418844,       4.4719,       8.6646,      -4.1928
                  Austria, 0.0002503339, 0.0002950035, 0.0004844033, 0.0008198798, 0.0006639701,     -64.0187,     -42.1171,     -21.9016
   Belgium and Luxembourg, 0.0002992837, 0.0005355087, 0.0005107041, 0.0013382811, 0.0019404711,     -59.9853,      46.8507,    -106.8361
                   Canada, 0.0001676952, 0.0002269374, 0.0005532036, 0.0005965606, 0.0011159719,     -61.9590,      32.3764,     -94.3355
                    China, 0.0058123452, 0.0062870476, 0.0077304939, 0.0061658850, 0.0076060662,       1.9650,      -0.0530,       2.0180
                 Colombia, 0.0009796886, 0.0011027921, 0.0013699289, 0.0011836054, 0.0015265746,      -6.8277,       6.4069,     -13.2346
                  Denmark, 0.0002883981, 0.0003518325, 0.0002935712, 0.0007773397, 0.0007190746,     -54.7389,      -0.0005,     -54.7384
                  Finland, 0.0003961823, 0.0003935903, 0.0008477346, 0.0006258541, 0.0013831662,     -37.1115,      48.4407,     -85.5521
                   France, 0.0002095683, 0.0002104729, 0.0002949850, 0.0002228368, 0.0002843472,      -5.5484,     -10.3222,       4.7738
                  Germany, 0.0002663971, 0.0002590638, 0.0002286742, 0.0002779158, 0.0002501083,      -6.7833,       0.9291,      -7.7124
                   Greece, 0.0003197914, 0.0003614184, 0.0003729735, 0.0003342137, 0.0003702713,       8.1399,       7.3314,       0.8085
                    India, 0.0009485480, 0.0009140995, 0.0009301446, 0.0008959798, 0.0009579200,       2.0223,       5.1223,      -3.1000
                  Ireland, 0.0006334412, 0.0007847277, 0.0018541303, 0.0022664853, 0.0029143021,     -65.3769,     -18.6009,     -46.7760
                    Italy, 0.0001860076, 0.0001830311, 0.0001675104, 0.0001865997, 0.0001603448,      -1.9124,      -5.7525,       3.8401
                    Japan, 0.0002715483, 0.0002706755, 0.0002995165, 0.0002687813, 0.0003001886,       0.7047,       0.9548,      -0.2501
                   Mexico, 0.0008284599, 0.0011253625, 0.0034357733, 0.0021752612, 0.0051182190,     -48.2654,      29.0791,     -77.3445
              Netherlands, 0.0001819121, 0.0002561279, 0.0005322284, 0.0005157674, 0.0012128392,     -50.3404,      81.6204,    -131.9608
                   Norway, 0.0006918344, 0.0006516119, 0.0017655813, 0.0011295758, 0.0027085339,     -42.3136,      41.1649,     -83.4785
                 Portugal, 0.0011875220, 0.0012315042, 0.0018731598, 0.0013655836, 0.0023104540,      -9.8185,      22.2040,     -32.0225
                      ROW, 0.0016878950, 0.0017485961, 0.0025073703, 0.0017331313, 0.0025480153,       0.8923,       3.2375,      -2.3452
              South Korea, 0.0009708892, 0.0009050716, 0.0007761274, 0.0008921053, 0.0008228137,       1.4534,       6.6867,      -5.2333
                    Spain, 0.0001760892, 0.0001755861, 0.0002578885, 0.0002061716, 0.0002697997,     -14.8350,      -9.0576,      -5.7773
                   Sweden, 0.0001946359, 0.0002254744, 0.0001850158, 0.0003435624, 0.0002737758,     -34.3716,      -8.5364,     -25.8352
           United Kingdom, 0.0001786052, 0.0001731329, 0.0002235479, 0.0001926524, 0.0002361503,     -10.1320,      -3.5905,      -6.5415
            United States, 0.0002335741, 0.0002844133, 0.0002750571, 0.0002828972, 0.0002729215,       0.5359,      -0.2190,       0.7549
