country, data, baseline, nosectoral, kappa1972, kappa1972_nosectoral, trade_barriers, specialization, diversification
                Australia, 0.0008845367, 0.0008757536, 0.0008076180, 0.0008921836, 0.0008355470,      -1.8415,       1.2889,      -3.1304
                  Austria, 0.0002503339, 0.0002475063, 0.0002156537, 0.0003726520, 0.0003578986,     -33.5825,       4.5885,     -38.1710
   Belgium and Luxembourg, 0.0002992837, 0.0003258069, 0.0001786131, 0.0029574201, 0.0027231885,     -88.9834,      -2.9430,     -86.0404
                   Canada, 0.0001676952, 0.0001923978, 0.0001463071, 0.0002300567, 0.0001740829,     -16.3694,      -4.2959,     -12.0735
                    China, 0.0058123452, 0.0061670327, 0.0056866346, 0.0061962461, 0.0057340814,      -0.4715,       0.2943,      -0.7657
                 Colombia, 0.0009796886, 0.0010530515, 0.0008092294, 0.0010324580, 0.0007923198,       1.9946,       0.3568,       1.6378
                  Denmark, 0.0002883981, 0.0003106426, 0.0001161568, 0.0003577677, 0.0001909507,     -13.1720,       7.7337,     -20.9057
                  Finland, 0.0003961823, 0.0003566558, 0.0003296874, 0.0003736722, 0.0003638737,      -4.5538,       4.5949,      -9.1487
                   France, 0.0002095683, 0.0002203719, 0.0001259808, 0.0002313647, 0.0001381799,      -4.7513,       0.5214,      -5.2727
                  Germany, 0.0002663971, 0.0002730203, 0.0001514674, 0.0002845800, 0.0001676290,      -4.0620,       1.6171,      -5.6791
                   Greece, 0.0003197914, 0.0003509841, 0.0002431904, 0.0003369915, 0.0002342282,       4.1522,       1.4927,       2.6595
                    India, 0.0009485480, 0.0008694894, 0.0008306093, 0.0016177402, 0.0015165599,     -46.2528,      -3.8511,     -42.4018
                  Ireland, 0.0006334412, 0.0006494885, 0.0004643440, 0.0346705117, 0.0345020610,     -98.1267,       0.0481,     -98.1748
                    Italy, 0.0001860076, 0.0001799859, 0.0000971857, 0.0001744583, 0.0001020853,       3.1684,       5.9769,      -2.8085
                    Japan, 0.0002715483, 0.0002635812, 0.0001211735, 0.0002577568, 0.0001205591,       2.2596,       2.0213,       0.2384
                   Mexico, 0.0008284599, 0.0008776380, 0.0009509841, 0.0024145321, 0.0025412082,     -63.6518,       2.2087,     -65.8605
              Netherlands, 0.0001819121, 0.0002012804, 0.0001073254, 0.0013163290, 0.0014001283,     -84.7090,      13.5038,     -98.2127
                   Norway, 0.0006918344, 0.0006223770, 0.0004766683, 0.0028077222, 0.0025846383,     -77.8334,      -2.7558,     -75.0776
                 Portugal, 0.0011875220, 0.0011956895, 0.0008892713, 0.0015338021, 0.0013121311,     -22.0441,       5.5253,     -27.5694
                      ROW, 0.0016878950, 0.0017496922, 0.0017444757, 0.0017246285, 0.0017205885,       1.4533,       0.0682,       1.3851
              South Korea, 0.0009708892, 0.0009268086, 0.0007101963, 0.0012542816, 0.0009708361,     -26.1084,      -5.3284,     -20.7800
                    Spain, 0.0001760892, 0.0001758961, 0.0001550471, 0.0001767196, 0.0001602775,      -0.4660,       2.4937,      -2.9597
                   Sweden, 0.0001946359, 0.0002046484, 0.0002038633, 0.0002384775, 0.0002351261,     -14.1854,      -1.0761,     -13.1093
           United Kingdom, 0.0001786052, 0.0001887271, 0.0001570557, 0.0001777643, 0.0001509538,       6.1670,       2.7345,       3.4326
            United States, 0.0002335741, 0.0002778118, 0.0001809756, 0.0002742824, 0.0001776718,       1.2868,       0.0823,       1.2045
